cid,tid,rate,cnotice,remark,quizmethod
984,923,5,我記得是只有一個上臺報告+期末一張A4心得，老師人超好，上課也很鼓勵同學發言，上課的內容都很有趣!,這門課滿像演講，不用考試，老師常常跟我們分享他去阿拉伯工作的見聞，偶爾也會邀請一些在國外工作的人分享他們的趣事,只有上臺報告+期末A4心得而已
762,944,5,期中期末背多分，且分數很甜，出席會依簽到表為準，老師很可愛！,,期中期末都是申論題，老師會在考試前一兩堂課透露題目！沒有報告。
966,505,5,沒有期中期末考,,看影片討論、上臺報告
975,871,5,沒有考試，期中期末各收一次課堂心得報告，外加課外讀物，每節課會點名，但是座位上有人就好。,,會邀請導演來分享，基本上作業有交出席狀況不差一定有80，但是心得千萬不要複製貼上，老師真的會抓。
1031,953,5,忘了分數怎麼算,,考前畫重點都考重點的openbook申論題
1007,697,4,出席都用簽到的，作業分數佔比較重，但是作業很簡單上網查一查就可以查到答案，作業內容越多分，分數越高,,考試會提前給題目都是申論題。作業則是跟他上課有關的題目，上網都查得到
563,580,5,開書考 要做簡單報告 輕鬆,,開書考 簡單報告
13,388,4,不定期點名，通常考前兩週會點名。,,考試幾乎都從講義內容出，有讀都會過
628,641,4,期中上機考 期末小組報告 助教人很好,,期中上機考(完成線上測驗就有50分) 期末小組報告 助教人很好
707,347,3,,,
1766,762,5,上課風氣自由 鼓勵討論 分數會給很高,,考試少 期中考跟期末報告而已
420,511,5,平時40%,,會有小作業跟簡報，基本上不會太難
996,455,5,期中末各30%，作業出席20%,不難，可以不去上課，最後一節繳交作業兼點名即可。,作業為每週找一篇與毒化物有關新聞，每週繳交即可。
998,932,5,出席很重  期中期末考的很基本  有在聽  絕對穩穩過,人真的很好,期中還有多選  期末改全單選
1021,944,5,期中期末各占50%，每堂必傳點名單，老師會看出席加扣分，上課會請同學印講義，考前一週很傳題目給同學拍，考試都是申論題寫越多分數越高，認真上課可以學到很多國際的事件。,不用什麼基礎，人來就好，老師人很好，都是第二節上課才傳點名單 ，偶爾會直接點名,考試是申論題，期中３題考６０分鐘，期末５題考９０分鐘，寫越多分數越高
1019,945,5,非常寬鬆,給分都很高,沒什麼作業
981,901,5,聽老師講人生大道理，出席率不用太高沒關係，總共4個作業，用點心寫就有80分左右，老師人其實很好，雖然有點老頑固，就是上課不能吃東西滑手機穿夾腳拖。,就聽老師講一些儒道思想，他也會問同學們哪裡有問題還有感想，所以要認真聽喔,作業就發揮各位一點用心以及假掰的能力就可以hold住了
